"Manage Reminders","Manage Reminders"
"Send","Send"
"Edit Reminder","Edit Reminder"
"Reminder Information","Reminder Information"
"Email Preview","Email Preview"
"Review Status","Review Status"
"Order Products","Order Products"
"Review Reminder","Review Reminder"
"The reminder has been deleted.","The reminder has been deleted."
"Unable to find a reminder to delete.","Unable to find a reminder to delete."
"Unable to find a reminder to send.","Unable to find a reminder to send."
"Reminder has been saved.","Reminder has been saved."
"Store Administrator","Store Administrator"
"Last year","Last year"
"Last month","Last month"
"Last week","Last week"
"From custom date","From custom date"
"Not reviewed","Not reviewed"
"Reviewed","Reviewed"
"Customer not found","Customer not found"
"New","New"
"Sent","Sent"
"Cancelled","Cancelled"
"Failed","Failed"
"Pending","Pending"
